paragraph,predict_label
Recognition and teambuilding activities are important ways to build engagement At each ITT location across the globe ITTers participate in initiatives from onsite celebrations to local charitable events during which our employees have opportunities to feel good by doing good At the enterprise level we also celebrate our annual global ITT Awards to promote recognize and celebrate successes that significantly impact ITT Finally we invest in our employees as individuals Effective managers know their employees and work to understand and accommodate their unique motivations and needs At ITT we reinforce this with our leaders across the company as critical to driving engagement,10
incidents first aid injuries near misses and hazards unsafe acts and unsafe conditions Our teams report,9
Doing whatever is required to ensure the safety of our,9
safety metrics and individual occurrences and then discuss them with the ITT leadership team monthly and the,9
people is a longstanding core value at ITT Our focus,8
behaviors as well as our granular rootcause approach,8
our organization and is reflected in the continued,7
Thirdparty audit process to help ensure we comply,12
still occur In such cases we must report the,12
Our Safety Culture reflects our belief that every,9
analysis helps ITT gauge the effectiveness of our,12
In addition we encourage employees to identify any potential unsafe or nonstandard conditions and to report them,9
so that they can be remediated before an incident occurs,5
of our sites had two incidents or fewer in 2021,5
55 of our sites had ZERO safety incidents in 2021,9
From 2021 to 2022 injury frequency and injury severity rates both declined while hours worked increased to meet higher demand 2021 2019,9
systematically tracking regulatory compliance calendars with closing corrective actions,12
This is a preventative program to avoid injuries,9
1 Based on Occupational Safety and Health Administration OSHA definition of recordable incidents 2 Based on OSHA calculation of number of recordable incidents per 1 million employee hours worked 3 Based on OSHA calculation of number of work and lightduty days lost per 100 employees,9
Based on Occupational Safety and Health Administration OSHA definition of recordable incidents Based on OSHA calculation of number of recordable incidents per 1 million employee hours worked Based on OSHA calculation of number of work and lightduty days lost per 100 employees,9
Based on Occupational Safety and Health Administration OSHA definition of recordable incidents,9
Based on Occupational Safety and Health Administration OSHA definition of recordable incidents,9
Based on OSHA calculation of number of recordable incidents per 1 million employee hours worked,11
Based on OSHA calculation of number of recordable incidents per 1 million employee hours worked,11
Based on OSHA calculation of number of work and lightduty days lost per 100 employees,11
Based on OSHA calculation of number of work and lightduty days lost per 100 employees,11
Stop Think Act is a safety initiative Connect Control Technologies CCT introduced in 2022 This program emphasizes to the frontline leaders and operators the importance of evaluating potential safety risks in their area before starting any standard or non standard work,9
First we set a safety baseline We set specific safety inputs to drive our intended output of zero injury occurrences Our Stop Think Act program places a strong emphasis on reviewing various work processes without regard to whether an actual injury has occurred We do this to ensure that the base work process and equipment we use meet the safety requirements we need in order to prevent injuries from happening,9
Second we build a common understanding We evaluate and as needed send targeted communications across all teams on how specific safety controls should work,9
Third we learn The program which is an educational piece to our safety strategy ensures leaders and operators understand specific operating safety requirements hazards escalation and fix requirements,9
Physically and mentally going through the steps of the Stop Think Act process increases the engagement of our shopfloor operators and supervisors to keep good safety top of mind Since introducing this program eightor 81of CCTs sites have experienced zero injuries a dramatic decrease in safety incidents in CCT,9
Machinists following standard industry practices were manually setting materials by inserting their hands into machinery while equipment was in operation Doing so put their hands close to pinch points and the equipments moving parts,9
Under ITTs Stop Think Act Safety initiative our Nogales Mexico team tasked themselves to find a way to perform the cutting tool setup with the doors closed and the machinists hands away from the moving cutting head,9
The team implemented the use of magnetized tool setters to preset the correct distances eliminating the need for the machinist to reach into the CNC while the cutting head is moving,24
ITTers from Nogales reengineered machinery to eliminate the need for operators to reach into the equipment when parts are moving,15
plans eligible to earn up to 1000 for completing,2
At ITT we consider the physical emotional and,9
An employee fund providing up to 2500 to ease,11
Care and Support Through COVID19 and Beyond COVID19 Care,2
COVID19 represented a critical opportunity for us to drive key health safety and wellbeing protocols,9
which included vigilance on safety and health at the site level daily tracking of cases and employee,9
outreach in the spirit of our culture of care to support individual and family needs We also implemented,2
vaccine education and access campaigns achieving a global 80 vaccination rate inclusive of all,2
Full employee and family access to our Global,2
ITT Employees First Disaster Relief Fund Taking Care of Each Other,5
ITT puts the health of our people first and at the forefront of everything we do Employees 1st is a,9
charitable disaster relief fund administered on behalf of ITT to distribute hardship grants to help affected,5
practices leverage data to ensure our employees receive competitive equitable salaries supported,11
ITTers recover from unexpected emergencies stemming from serious illness natural disasters extreme,5
ITTers worldwide can voluntarily contribute to the fund to help ITTers in need In turn ITT matches 100 of all donations Over the last several years the fund has helped many ITTers around the world in,2
their time of need The program has made an incredibly positive impact on the employees and families,2
and union or works council agreements in select,12
areas Our variable incentive plans reinforce pay for,12
eligible for either a performancebased bonus or a,12
Additionally over the past two years we have worked,12
stability of our people in the context of a turbulent,18
ITTs help in paying for some of the funeral services has been very,9
helpful for my family We were able to focus on mourning the loss of my,9
dad and not so much worry about the financial implications,18
Daughter of an ITTer who received ITT Employees First grant assistance,2
to local market practices and adapt those to ITT,4
guided by our principle to do what is right for our,12
Some highlights of employee health and family benefits include,9
ITT is committed to ensuring we treat the people,10
all phases and all aspects of employment including,11
UNGC call for businesses to uphold freedom of,12
Our approach to human rights is rooted in actions,10
and governed through the ITT Code of Conduct,12
We strive to ensure our products and services,15
standards in our operations and in our value chain,3
We do not tolerate the use of child labor forced,11
labor human trafficking or any other violation of,11
human rights in any form including slave labor prison labor indentured servitude or bonded labor,11
partnerships with external companies and organizations to ensure they share our strong,10
meet or exceed all applicable laws and relevant,12
Doing what is fair equitable and just is core to,4
ITTs values and success as a company ITT has,10
a longstanding policy of equal opportunity for all,8
behavior In addition we ensure we make available,12
to enable equal access for everyone and work to,8
our ITTers and their unions and bargain in good,11
remove barriers to access where challenges or needs,2
faith on all matters that involve our unions works,11
exist We treat all company employees according to,11
councils and the employees they represent As a,11
result of these practices we have not experienced,0
acknowledging where we have work to do and to,10
our progress Aligned to this we actively communicate,10
employment see our EEO1 Report and our multi,8
years It is also noteworthy that in late 2021 and,12
negotiations in several key US sites including our,12
ITT is committed to meeting all statutory regulatory and customerspecific requirements related to product safety and quality Every ITTer is responsible for the quality of,14
their work ITTs leaders assist coach and train our people in quality fundamentals Our leaders take an active role in promoting a quality culturethrough metric analysis,8
customer and supplier quality reviews layered audits program reviews and other communication tools,17
Advanced Quality Planning is the key to quality assurance and to avoiding potential systematic errors When we need to make changes to a product or process ITT,14
adheres to a disciplined and orderly course of action If nonconformance occurs ITT acts urgently and with integrity to identify contain correct and prevent any,0
At ITT we strive to work together with our customers and suppliers to build a sustainable resilient global supply chain that allows us to maintain operations,17
We center our supply chain management around the ITT Code of Conduct which addresses our stance on labor and working conditions modern slavery environmental standards and conflict minerals among other critical factors in ethical supply chain management Ensuring a diverse and sustainable supply chain is another critical factor in,11
We monitor our supply chain management through our supply framework including vendor audits diversity longterm agreements and KPIs at several levels in the organization,17
ITTs Supplier Expectations Protocol and Code of Conduct outline our expectations for commercial suppliers who must also comply with all laws and regulations,17
Share ITTs commitment to human rights at all,10
times and in all locations regardless of local,4
To work with ITT suppliers must provide products,15
to specifications and are fit for the purpose,15
Policy is available at ITTcom and incorporates the,12
for which they are intended We are rolling out,12
into our products they are safe for our customers,15
expectation that Tier 1 suppliers will perform due,17
diligence similar to ours on the sources of 3TG,12
for quote RFQ process and are reflected in vendor contracts ITTs Supplier Development Engineer,17
scorecard dictate the frequency and scope of these,12
metals in their supply chains and that they will,17
require their own suppliers to do the same As the,17
we expect our Tier 1 Suppliers to procure minerals,17
Quality control for ITT Friction Technologies brake Pad,9
and guide the Board and our leadership team in,7
for our Chief Executive Officer all our Directors are,7
areas delegated to them by their respective charters,12
key risks and market trends as an organization and,18
with the company that would impair their judgment or,0
and provides detailed focus to areas that warrant,3
ITT has been an early adopter of many of the most significant governance advances over the last two decades,12
including majority voting for uncontested director elections proxy access bylaws independent Board chair,12
and shareholder rights to call a special meeting,12
The diverse backgrounds experiences and perspectives of ITTs Board members contribute to their collective ability to ensure the sustainable success,8
of our company The Board is committed to diversity among its members including gender and ethnicracial diversity as well as diversity of backgrounds,8
Recognizing that our businesses and operations are varied and global the Nominating and Governance Committee continually assesses the overall diversity 4 60s,8
of the Board includes diversity as a specific factor when conducting any search for Board candidates and strives to maintain an appropriate balance of tenure 6 510 years,8
Board of Directors and Committees ESG plays an essential role in our business and operating strategies and we recognize the importance of ESG to our customers employees communities and shareholders Our Board of Directors executive leadership and employees are committed to effectively managing ESG topics We design our governance policies and processes to provide appropriate oversight of significant ESG issues relevant to ITT These policies and processes as well as areas of focus most relevant given our business and industry are informed by proactive engagement with our shareholders as well as other stakeholders including the SASB,12
Our Board provides active oversight of the full range of ESG topics Management works closely with the Board to identify relevant ESG risks and opportunities to enhance our bottom line and deliver longterm financial value to our shareholders The Nominating and Governance Committee has overall responsibility for sustainability and other ESG initiatives In addition each Committee has primary responsibility for oversight of other specific aspects of the Companys ESG initiatives as stated in their respective charters,3
ESG Management Approach The ITT Environmental Safety Health and Security ESHS Council is an internal team of senior executives that drives our daytoday management of ESHS matters and establishes corporatewide processes,18
The ESHS Council meets monthly and includes our General Counsel Director of Environmental Affairs and the executive directorlevel ESH leaders embedded in each of our Value Centers Members of the ESHS Council provide regular reports to the Board and our Committees including quarterly reports on safety performance to the full Board and an annual review of environmental liabilities and assets provided to our Audit Committee,12
In addition in 2021 we established an Environmental Task Force led by our Chief Financial Officer comprised of leaders in our ESHS Council finance research and development and supply chain management Our Environmental Task Force meets monthly to discuss green capex initiatives establish corporatewide environmental and sustainability goals and identify sustainability related opportunities across our Value Centers,17
BOARD OF DIRECTORS Receives regular reports from management regarding matters related to ESHS and provides oversight of sustainability and other ESG initiatives primarily through its Committees,12
cybersecurity and other information technology risks controls and procedures,1
liabilities and assets including the accuracy of budgeting and the forecasting process related to environmental liabilities,12
Oversees sustainability in general with an emphasis on assessing the effectiveness of ITTs Ethics and Compliance program and charitable initiatives,0
investor relations department regarding sustainability initiatives at least annually,12
Oversight in developing and setting the timing of the emissions target outlined in this report,25
Oversees ITTs human capital management programs including responsibilities relating to the compensation and benefits of our executive officers and the recruitment development and retention of diverse talent necessary to ensure our success,8
Receives regular briefings from our Chief Human Resources Officer regarding diversity equity and inclusion as well as written reports at least once a quarter,8
Environmental Task Force Internal team that establishes corporatewide environmental and sustainability goals and identifies sustainabilityrelated opportunities across our Value Centers,3
Environmental Safety Health Security Council Internal team that drives daytoday management of ESHS matters establishes corporatewide processes and provides operational execution of the goals and targets set by Environmental Task Force,12
We value our shareholders views and believe effective corporate governance includes constructive,12
conversations with investors In 2021 we reached out to shareholders representing approximately 76 of,12
ITTs outstanding shares and engaged with shareholders representing over 40 of outstanding shares We,7
also conducted outreach to the two main proxy advisory firms and met with one of those firms Engaging,12
with shareholders helps us better understand their priorities and perspectives and provides the company with,12
actionable feedback regarding corporate governance executive compensation and sustainability practices,12
ITT has a longstanding global policy against using company resources to contribute to political parties political,12
action committees PACs candidates or government officials even when lawfully permitted ITT does not,12
currently operate a PAC and does not involve itself in the political affairs of any country No company funds,12
or assets are allowed to be used for any partisan political purposes All employee political lobbying and civic,12
activity must comply with applicable laws our Code of Conduct and our policies,12
In June 2022 we held our first investor day in over a decade and used the event to engage with over 125 attendees During our investor day our Chief Financial Officer specifically addressed our sustainability priorities environmental projects climatefriendly product innovations and robust corporate governance practices,3
Board and Committee Roles in Oversight of Risk,7
receive a formal ERM update at least annually,12
with oversight from our Board of Directors and our,7
additionally our full Board receives reports as needed,7
operational financial compliance legal and reputational risks This includes risks concerning,12
into individual risks and the netrisk we face and,18
synthesizes this input to create a dynamic register,4
of risks The business actively manages these risks,18
as part of standard operating procedure and not as,12
A Steering Committee chaired by ITTs Chief Financial Officer who serves as a liaison to our,12
On July 1 2021 ITT divested 100 of the equity of,18
Delticus a portfolio company of Warburg Pincus As a,18
result of the transaction ITT removed all pending and,12
profile By divesting our legacy asbestos liabilities ITT removed a risk and now has a more attractive,18
free cash flow profile without the burden of legacy,18
also allows management to focus on the core,3
BOARD OF DIRECTORS The Board is charged with oversight of the Companys risk management policies and practices with the objective of ensuring appropriate risk management systems are employed throughout the Company The Board monitors overall corporate performance the integrity of the Companys financial controls and the effectiveness of its legal compliance and enterprise risk management programs risk governance practices and risk mitigation efforts,0
Nominating Governance Committee Oversees ITTs overall risk management program Also evaluates risks in connection with the Companys corporate governance structures and processes and risks related to other primarily nonfinancial matters for example business continuity planning and sustainability,18
Audit Committee Oversees ITTs policies on risk assessment and management and oversees risks related to our financial statements the financial reporting process accounting matters and other areas of significant financial risk Assesses risks related to legal and regulatory matters that may have a material impact on our financial statements,18
Compensation and Human Capital Committee Oversees risks related to compensationrelated matters management succession planning human capital management and corporate culture,18
MANAGEMENT The Companys internal audit function has primary oversight responsibilities over risk management and engages with other members of management to monitor and analyze various risks Each Board Committee receives regular reports from management within the relevant expertise of that committee,18
policies and best practices to facilitate a resilient,3
Officer provides regular updates to the Board on our,7
ITT is committed to maintaining a strong set of,12
We also conduct an ongoing phishing test campaign,1
to raise employee awareness of potential email and,8
personal data must adhere to and comply with,22
does not seem right or appears to conflict,4
concern in good faith is subject to appropriate,12
with our Code of Conduct a policy or the law,12
updated our Code of Conduct which serves as,0
a guide to ethical business conduct Our Code,0
of our ethics and compliance program We require,0
every ITTer to affirm they will adhere to it when,12
We conduct training on our Code of Conduct,0
annually and in 2021 we had an 85 completion,12
rate We reinforce the content of our Code through,12
additional regular training which focuses on specific policies set out in our Code such as respect in the,12
rotation schedule includes an audit of ITTs policies,12
and procedures and captures the vast majority of our,12
Speaking Up Whistle Blower Programs and Reporting Ethics Concerns At ITT we encourage our employees to raise,0
members feel free to speak up If something,10
or the ITT Ethics Helpline to raise issues,0
where permitted by law ITTs Ethics Helpline is,0
available via the Internet 24 hours a day seven,24
days a week In many locations ITTers also can,11
make a local call in their local language to report,10
a concern 24 hours a day seven days a week,11
policies or laws are investigated by the appropriate,12
parties with the full cooperation of employees until,11
actions based on the findings of any investigation,12
Employees found to have violated our Code of,0
Conduct policy or laws are subject to discipline,12
up to and including termination We provide our,11
ITT does not condone any form of retaliation,0
against those who raise a concern in good faith,12
